time_sec,mid_price,best_bid,best_ask,hft_agg_inventory,imbalance
350.0,1149.25,1148.5,1150.0,114.0,-0.8888888888888888
351.0,1149.0,NaN,1149.0,116.0,-1.0
352.0,1148.5,1147.75,1149.25,117.0,-0.8947368421052632
353.0,1149.5,NaN,1149.5,119.0,-1.0
354.0,1148.5,1147.75,1149.25,117.0,-0.9166666666666666
355.0,1149.0,NaN,1149.0,118.0,-1.0
356.0,1147.25,1146.5,1148.0,118.0,-0.8666666666666667
357.0,1148.25,NaN,1148.25,120.0,-1.0
358.0,1148.75,NaN,1148.75,118.0,-1.0
359.0,1148.75,NaN,1148.75,120.0,-1.0
360.0,1148.75,NaN,1148.75,119.0,-1.0
361.0,1148.25,NaN,1148.25,115.0,-1.0
362.0,1146.75,NaN,1146.75,117.0,-1.0
363.0,1147.5,NaN,1147.5,117.0,-1.0
364.0,1147.5,NaN,1147.5,115.0,-1.0
365.0,1147.75,NaN,1147.75,119.0,-1.0
366.0,1148.0,NaN,1148.0,120.0,-1.0
367.0,1148.0,NaN,1148.0,120.0,-1.0
368.0,1147.75,NaN,1147.75,119.0,-1.0
369.0,1147.0,NaN,1147.0,118.0,-1.0
370.0,1147.25,NaN,1147.25,118.0,-1.0
371.0,1147.5,NaN,1147.5,118.0,-1.0
372.0,1147.5,NaN,1147.5,120.0,-1.0
373.0,1147.25,NaN,1147.25,118.0,-1.0
374.0,1147.25,NaN,1147.25,116.0,-1.0
375.0,1147.25,NaN,1147.25,118.0,-1.0
376.0,1147.25,NaN,1147.25,119.0,-1.0
377.0,1147.0,NaN,1147.0,118.0,-1.0
378.0,1145.75,NaN,1145.75,119.0,-1.0
379.0,1146.0,NaN,1146.0,120.0,-1.0
380.0,1146.25,NaN,1146.25,119.0,-1.0
381.0,1146.5,NaN,1146.5,120.0,-1.0
382.0,1145.75,NaN,1145.75,118.0,-1.0
383.0,1146.0,NaN,1146.0,119.0,-1.0
384.0,1146.25,1146.0,1146.5,120.0,-0.9
385.0,1146.25,NaN,1146.25,119.0,-1.0
386.0,1146.5,NaN,1146.5,120.0,-1.0
387.0,1146.25,NaN,1146.25,117.0,-1.0
388.0,1145.0,1144.25,1145.75,87.0,0.2
389.0,1143.5,1143.25,1143.75,75.0,0.36
390.0,1140.875,1140.5,1141.25,49.0,0.7777777777777778
391.0,1139.5,1139.5,NaN,32.0,1.0
392.0,1139.25,1138.75,1139.75,28.0,0.5294117647058824
393.0,1138.5,1138.5,NaN,32.0,1.0
394.0,1139.875,1139.0,1140.75,43.0,0.3333333333333333
395.0,1139.25,1139.25,NaN,71.0,1.0
396.0,1141.125,1140.5,1141.75,85.0,0.4
397.0,1142.75,1141.75,1143.75,97.0,0.8181818181818182
398.0,1142.25,1142.25,NaN,104.0,1.0
399.0,1143.5,1143.5,NaN,113.0,1.0
400.0,1144.0,1143.25,1144.75,109.0,0.6
401.0,1143.625,1143.25,1144.0,114.0,0.8571428571428571
402.0,1144.0,1144.0,NaN,115.0,1.0
403.0,1143.75,1143.75,NaN,114.0,1.0
404.0,1142.75,1142.75,NaN,117.0,1.0
405.0,1142.75,1142.0,1143.5,117.0,0.8888888888888888
406.0,1142.5,1142.5,NaN,117.0,1.0
407.0,1141.375,1140.75,1142.0,100.0,-0.09090909090909091
408.0,1143.25,1142.75,1143.75,83.0,-0.5555555555555556
409.0,1144.5,1144.25,1144.75,58.0,-0.6
410.0,1145.25,NaN,1145.25,39.0,-1.0
411.0,1146.0,1145.5,1146.5,16.0,-0.875
412.0,1146.5,NaN,1146.5,20.0,-1.0
413.0,1146.0,1145.5,1146.5,43.0,-0.92
414.0,1146.0,1145.5,1146.5,66.0,-0.8620689655172413
415.0,1143.75,1143.0,1144.5,80.0,-0.6
416.0,1144.75,NaN,1144.75,96.0,-1.0
417.0,1144.5,NaN,1144.5,107.0,-1.0
418.0,1141.5,NaN,1141.5,116.0,-1.0
419.0,1140.75,NaN,1140.75,115.0,-1.0
420.0,1139.25,1138.5,1140.0,119.0,-0.9047619047619048
421.0,1139.5,NaN,1139.5,118.0,-1.0
422.0,1140.25,NaN,1140.25,120.0,-1.0
423.0,1140.25,NaN,1140.25,118.0,-1.0
424.0,1140.25,NaN,1140.25,120.0,-1.0
425.0,1140.25,NaN,1140.25,120.0,-1.0
426.0,1140.25,NaN,1140.25,120.0,-1.0
427.0,1140.0,NaN,1140.0,119.0,-1.0
428.0,1139.375,1138.5,1140.25,109.0,-0.7333333333333333
429.0,1144.0,1143.75,1144.25,89.0,0.7333333333333333
430.0,1141.875,1141.5,1142.25,64.0,0.6923076923076923
431.0,1141.125,1140.75,1141.5,37.0,0.8947368421052632
432.0,1141.125,1140.75,1141.5,26.0,0.5714285714285714
433.0,1141.25,1140.75,1141.75,21.0,0.6521739130434783
434.0,1140.875,1140.25,1141.5,41.0,0.5789473684210527
435.0,1140.625,1140.0,1141.25,61.0,0.75
436.0,1142.5,1142.5,NaN,83.0,1.0
437.0,1143.0,1142.5,1143.5,92.0,0.23076923076923078
438.0,1145.875,1145.25,1146.5,108.0,0.45454545454545453
439.0,1147.875,1147.0,1148.75,114.0,0.8181818181818182
440.0,1149.0,1148.25,1149.75,118.0,0.8181818181818182
441.0,1148.75,1148.75,NaN,117.0,1.0
442.0,1149.0,1149.0,NaN,118.0,1.0
443.0,1148.75,1148.75,NaN,118.0,1.0
444.0,1149.0,1149.0,NaN,118.0,1.0
445.0,1148.75,1148.75,NaN,117.0,1.0
446.0,1151.0,1150.25,1151.75,116.0,0.7777777777777778
447.0,1149.75,1149.75,NaN,115.0,1.0
448.0,1149.375,1149.0,1149.75,114.0,0.8
449.0,1151.125,1150.25,1152.0,113.0,0.7777777777777778
450.0,1150.75,1150.75,NaN,116.0,1.0
451.0,1151.0,1151.0,NaN,119.0,1.0
452.0,1150.75,1150.75,NaN,119.0,1.0
453.0,1152.0,1152.0,NaN,119.0,1.0
454.0,1151.5,1151.5,NaN,118.0,1.0
455.0,1151.25,1151.25,NaN,119.0,1.0
456.0,1151.0,1151.0,NaN,118.0,1.0
457.0,1152.75,1152.25,1153.25,113.0,0.6666666666666666
458.0,1152.75,1152.75,NaN,119.0,1.0
459.0,1152.0,1152.0,NaN,118.0,1.0
460.0,1152.0,1152.0,NaN,118.0,1.0
461.0,1152.0,1152.0,NaN,120.0,1.0
462.0,1152.25,1152.25,NaN,119.0,1.0
463.0,1152.5,1152.5,NaN,120.0,1.0
464.0,1152.5,1152.5,NaN,118.0,1.0
465.0,1152.25,1152.25,NaN,116.0,1.0
466.0,1152.25,1152.25,NaN,119.0,1.0
467.0,1153.25,1152.5,1154.0,117.0,0.9310344827586207
468.0,1152.75,1152.75,NaN,117.0,1.0
469.0,1152.5,1152.5,NaN,117.0,1.0
470.0,1152.5,1152.5,NaN,115.0,1.0
471.0,1153.25,1153.25,NaN,115.0,1.0
472.0,1153.0,1153.0,NaN,117.0,1.0
473.0,1152.75,1152.25,1153.25,112.0,0.8947368421052632
474.0,1152.75,1152.75,NaN,120.0,1.0
475.0,1153.75,1153.75,NaN,116.0,1.0
476.0,1156.0,1155.25,1156.75,116.0,0.7142857142857143
477.0,1154.75,1154.75,NaN,115.0,1.0
478.0,1156.25,1156.25,NaN,116.0,1.0
479.0,1157.0,1157.0,NaN,119.0,1.0
480.0,1157.5,1157.5,NaN,119.0,1.0
481.0,1157.25,1157.25,NaN,120.0,1.0
482.0,1157.0,1157.0,NaN,118.0,1.0
483.0,1156.75,1156.75,NaN,117.0,1.0
484.0,1156.25,1156.25,NaN,116.0,1.0
485.0,1156.25,1156.25,NaN,119.0,1.0
486.0,1156.25,1156.25,NaN,120.0,1.0
487.0,1156.0,1156.0,NaN,120.0,1.0
488.0,1156.0,1156.0,NaN,118.0,1.0
489.0,1156.25,1156.25,NaN,119.0,1.0
490.0,1155.75,1155.75,NaN,116.0,1.0
491.0,1155.75,1155.75,NaN,119.0,1.0
492.0,1155.75,1155.75,NaN,120.0,1.0
493.0,1156.5,1155.75,1157.25,118.0,0.9444444444444444
494.0,1155.5,1155.5,NaN,119.0,1.0
495.0,1155.25,1155.25,NaN,118.0,1.0
496.0,1155.25,1155.25,NaN,120.0,1.0
497.0,1155.25,1155.25,NaN,120.0,1.0
498.0,1156.75,1156.0,1157.5,114.0,0.9130434782608695
499.0,1157.75,1157.5,1158.0,90.0,-0.8333333333333334
500.0,1160.25,1160.0,1160.5,79.0,-0.25
501.0,1161.75,1161.75,NaN,86.0,1.0
502.0,1164.0,1164.0,NaN,102.0,1.0
503.0,1165.5,1164.75,1166.25,106.0,0.7333333333333333
504.0,1166.0,1166.0,NaN,117.0,1.0
505.0,1165.0,1165.0,NaN,114.0,1.0
506.0,1168.0,1167.25,1168.75,115.0,0.6363636363636364
507.0,1167.25,1167.25,NaN,117.0,1.0
508.0,1170.5,1169.75,1171.25,118.0,0.875
509.0,1169.75,1169.5,1170.0,117.0,0.7
510.0,1170.0,1170.0,NaN,120.0,1.0
511.0,1170.25,1170.25,NaN,118.0,1.0
512.0,1169.75,1169.75,NaN,117.0,1.0
513.0,1170.0,1170.0,NaN,119.0,1.0
514.0,1170.75,1170.25,1171.25,117.0,0.8571428571428571
515.0,1171.0,1171.0,NaN,114.0,1.0
516.0,1171.25,1171.25,NaN,119.0,1.0
517.0,1170.75,1170.75,NaN,117.0,1.0
518.0,1171.0,1171.0,NaN,118.0,1.0
519.0,1171.25,1170.5,1172.0,118.0,0.9444444444444444
520.0,1170.5,1170.5,NaN,117.0,1.0
521.0,1170.25,1170.25,NaN,117.0,1.0
522.0,1170.25,1170.25,NaN,118.0,1.0
523.0,1171.75,1171.0,1172.5,117.0,0.8823529411764706
524.0,1172.25,1172.25,NaN,115.0,1.0
525.0,1172.0,1172.0,NaN,119.0,1.0
526.0,1171.75,1171.75,NaN,118.0,1.0
527.0,1172.25,1172.25,NaN,117.0,1.0
528.0,1171.75,1171.75,NaN,118.0,1.0
529.0,1171.25,1171.25,NaN,117.0,1.0
530.0,1171.75,1171.75,NaN,118.0,1.0
531.0,1173.75,1173.0,1174.5,119.0,0.8571428571428571
532.0,1172.5,1172.5,NaN,120.0,1.0
533.0,1172.75,1172.75,NaN,119.0,1.0
534.0,1172.5,1172.5,NaN,118.0,1.0
535.0,1172.5,1172.5,NaN,120.0,1.0
536.0,1172.25,1172.25,NaN,119.0,1.0
537.0,1171.5,1171.5,NaN,119.0,1.0
538.0,1172.75,1172.0,1173.5,113.0,0.9130434782608695
539.0,1172.0,1172.0,NaN,117.0,1.0
540.0,1172.25,1171.5,1173.0,118.0,0.9459459459459459
541.0,1171.25,1171.25,NaN,120.0,1.0
542.0,1171.625,1171.0,1172.25,120.0,0.8125
543.0,1172.0,1172.0,NaN,117.0,1.0
544.0,1171.5,1171.5,NaN,117.0,1.0
545.0,1173.375,1173.0,1173.75,114.0,0.6
546.0,1173.0,1173.0,NaN,117.0,1.0
547.0,1172.5,1172.5,NaN,115.0,1.0
548.0,1173.0,1173.0,NaN,118.0,1.0
549.0,1173.0,1173.0,NaN,120.0,1.0
550.0,1172.5,1172.5,NaN,115.0,1.0
551.0,1172.25,1172.25,NaN,116.0,1.0
552.0,1172.0,1172.0,NaN,118.0,1.0
553.0,1172.0,1172.0,NaN,120.0,1.0
554.0,1172.5,1172.5,NaN,118.0,1.0
555.0,1172.625,1172.0,1173.25,115.0,0.8571428571428571
556.0,1172.25,1172.25,NaN,116.0,1.0
557.0,1171.75,1171.75,NaN,115.0,1.0
558.0,1171.5,1171.5,NaN,119.0,1.0
559.0,1171.75,1171.75,NaN,117.0,1.0
560.0,1172.25,1172.25,NaN,118.0,1.0
561.0,1174.25,1173.5,1175.0,116.0,0.9230769230769231
562.0,1174.5,1173.75,1175.25,116.0,0.8571428571428571
563.0,1175.5,1175.5,NaN,115.0,1.0
564.0,1175.0,1175.0,NaN,120.0,1.0
565.0,1175.25,1175.25,NaN,120.0,1.0
566.0,1174.5,1174.5,NaN,117.0,1.0
567.0,1176.125,1175.25,1177.0,118.0,0.9047619047619048
568.0,1175.0,1175.0,NaN,119.0,1.0
569.0,1175.0,1175.0,NaN,118.0,1.0
570.0,1176.0,1176.0,NaN,112.0,1.0
571.0,1177.125,1176.5,1177.75,112.0,0.6923076923076923
572.0,1177.25,1177.25,NaN,120.0,1.0
573.0,1177.5,1177.5,NaN,115.0,1.0
574.0,1179.0,1179.0,NaN,119.0,1.0
575.0,1178.25,1178.25,NaN,120.0,1.0
576.0,1178.25,1178.25,NaN,120.0,1.0
577.0,1178.0,1178.0,NaN,120.0,1.0
578.0,1179.375,1178.75,1180.0,118.0,0.75
579.0,1178.75,1178.75,NaN,118.0,1.0
580.0,1180.0,1180.0,NaN,116.0,1.0
581.0,1180.0,1180.0,NaN,118.0,1.0
582.0,1179.75,1179.75,NaN,120.0,1.0
583.0,1180.5,1179.75,1181.25,119.0,0.8888888888888888
584.0,1180.75,1180.0,1181.5,113.0,0.8888888888888888
585.0,1181.5,1181.5,NaN,118.0,1.0
586.0,1181.75,1181.75,NaN,119.0,1.0
587.0,1181.5,1181.5,NaN,117.0,1.0
588.0,1182.25,1182.25,NaN,117.0,1.0
589.0,1182.5,1182.5,NaN,118.0,1.0
590.0,1183.75,1183.0,1184.5,115.0,0.8095238095238095
591.0,1182.5,1182.5,NaN,119.0,1.0
592.0,1182.0,1182.0,NaN,120.0,1.0
593.0,1183.0,1182.75,1183.25,115.0,0.625
594.0,1183.75,1183.75,NaN,116.0,1.0
595.0,1184.5,1184.5,NaN,116.0,1.0
596.0,1184.0,1184.0,NaN,117.0,1.0
597.0,1184.0,1184.0,NaN,120.0,1.0
598.0,1183.75,1183.75,NaN,120.0,1.0
599.0,1183.75,1183.75,NaN,119.0,1.0
600.0,1184.25,1183.5,1185.0,120.0,0.9459459459459459
601.0,1183.25,1183.25,NaN,119.0,1.0
602.0,1184.0,1184.0,NaN,116.0,1.0
603.0,1184.75,1184.0,1185.5,115.0,0.9393939393939394
604.0,1185.5,1185.5,NaN,118.0,1.0
605.0,1185.5,1185.5,NaN,119.0,1.0
606.0,1185.0,1185.0,NaN,115.0,1.0
607.0,1184.75,1184.75,NaN,116.0,1.0
608.0,1184.75,1184.75,NaN,119.0,1.0
609.0,1185.5,1185.5,NaN,118.0,1.0
610.0,1186.0,1186.0,NaN,117.0,1.0
611.0,1185.75,1185.75,NaN,113.0,1.0
612.0,1186.0,1186.0,NaN,116.0,1.0
613.0,1187.0,1187.0,NaN,115.0,1.0
614.0,1187.5,1187.5,NaN,119.0,1.0
615.0,1187.75,1187.75,NaN,117.0,1.0
616.0,1186.5,1186.5,NaN,118.0,1.0
617.0,1187.875,1187.25,1188.5,115.0,0.6666666666666666
618.0,1188.25,1188.25,NaN,118.0,1.0
619.0,1190.5,1189.75,1191.25,113.0,0.8666666666666667
620.0,1191.25,1191.25,NaN,117.0,1.0
621.0,1190.125,1189.75,1190.5,94.0,-0.4
622.0,1190.5,NaN,1190.5,61.0,-1.0
623.0,1190.875,1190.5,1191.25,68.0,0.8
624.0,1191.375,1190.75,1192.0,84.0,0.8571428571428571
625.0,1192.75,1192.0,1193.5,103.0,0.8
626.0,1192.5,1191.75,1193.25,107.0,0.8666666666666667
627.0,1191.25,1191.25,NaN,108.0,1.0
628.0,1193.5,1193.5,NaN,113.0,1.0
629.0,1194.25,1194.25,NaN,118.0,1.0
630.0,1194.0,1194.0,NaN,118.0,1.0
631.0,1194.25,1194.25,NaN,118.0,1.0
632.0,1194.75,1194.75,NaN,120.0,1.0
633.0,1194.375,1194.0,1194.75,103.0,-0.25925925925925924
634.0,1194.375,1194.0,1194.75,86.0,-0.84
635.0,1194.875,1194.5,1195.25,59.0,-0.8095238095238095
636.0,1196.0,NaN,1196.0,33.0,-1.0
637.0,1195.625,1195.25,1196.0,18.0,-0.7777777777777778
638.0,1196.0,NaN,1196.0,21.0,-1.0
639.0,1195.25,1194.75,1195.75,43.0,-0.7647058823529411
